nuts3,wind_area,pv_area
DE111,0.0,5495183.277239737
DE112,1440000.0,6454202.440643817
DE113,0.0,9046990.406850288
DE114,420000.0,5279985.34697896
DE115,450000.0,8543010.737916982
DE116,330000.0,7637443.963642191
DE117,710000.0,1394621.425464203
DE118,17560000.0,6998097.854706138
DE119,12540000.0,2201960.757378025
DE11A,29150000.0,3310924.2850928404
DE11B,31930000.0,2695180.529798292
DE11C,5060000.0,2619167.0673352107
DE11D,12570000.0,6227897.5204340955
DE121,0.0,1345334.157565767
DE122,0.0,3208531.721501019
DE123,1960000.0,8829709.915974082
DE124,0.0,5184881.745541131
DE125,0.0,1827446.9400370906
DE126,0.0,2977367.493188635
DE127,9010000.0,2994722.164983859
DE128,4400000.0,9629760.285733914
DE129,0.0,1413017.3775671406
DE12A,10000.0,3768046.3401790415
DE12B,360000.0,4878745.33507338
DE12C,1230000.0,2432430.7988186004
DE131,570000.0,2163086.292556723
DE132,1380000.0,5588898.504933947
DE133,1010000.0,3371665.636376125
DE134,930000.0,9413868.168601323
DE135,5130000.0,3367500.515145271
DE136,200000.0,3772211.461409895
DE137,2740000.0,2794449.2524669734
DE138,3220000.0,4567055.429631156
DE139,240000.0,3962765.7577214553
DE13A,440000.0,3877380.772488953
DE141,4580000.0,4999186.757332235
DE142,3770000.0,4114098.4957758086
DE143,2450000.0,4643763.078966047
DE144,0.0,1479659.3172608009
DE145,33640000.0,3720841.632896032
DE146,31690000.0,4205036.975982782
DE147,2140000.0,4186293.9304439407
DE148,11390000.0,4892629.072509559
DE149,18340000.0,2654917.6912333723
DE211,630000.0,2038479.7490670148
DE212,1030000.0,9248998.786546696
DE213,0.0,951383.1078141814
DE214,23810000.0,2050628.0193236715
DE215,1670000.0,2369953.9803557936
DE216,1570000.0,2584804.817180667
DE217,44480000.0,2003770.4054765666
DE218,17270000.0,2153714.7697873022
DE219,28140000.0,2701081.118208668
DE21A,51410000.0,1587952.4692629988
DE21B,45570000.0,2540029.763948989
DE21C,18140000.0,2915237.7681617327
DE21D,730000.0,1715335.7602399432
DE21E,38070000.0,2332120.795842205
DE21F,950000.0,2477900.0389220873
DE21G,43920000.0,1739285.2073173523
DE21H,2290000.0,5488935.5953934565
DE21I,39570000.0,2159962.451633583
DE21J,38630000.0,2730584.060260549
DE21K,14810000.0,4555948.439682213
DE21L,200000.0,3437266.2957620714
DE21M,39910000.0,3319254.5275545483
DE21N,700000.0,2479288.412665705
DE221,20000.0,989563.3857636743
DE222,0.0,1262725.9198205005
DE223,4040000.0,884394.0746846166
DE224,31380000.0,2540723.950820798
DE225,0.0,969084.8730453099
DE226,50840000.0,2565367.5847700206
DE227,108560000.0,2434513.359434027
DE228,44080000.0,3151261.3045767797
DE229,30000.0,1644181.6058795247
DE22A,75760000.0,1872569.086704673
DE22B,94920000.0,1470634.8879272845
DE22C,69540000.0,1854520.22803764
DE231,330000.0,799703.2763239234
DE232,0.0,1833347.5284474667
DE233,70000.0,920144.6985827781
DE234,8390000.0,1946499.9885523273
DE235,0.0,2578210.041898482
DE236,26050000.0,2168639.7875311947
DE237,7780000.0,1717765.4142912745
DE238,44070000.0,4145336.905007212
DE239,3460000.0,3314048.126015981
DE23A,22180000.0,1468552.3273118576
DE241,0.0,1102715.8458685349
DE242,0.0,1344292.8772580535
DE243,0.0,990951.7595072922
DE244,420000.0,897930.7186848914
DE245,14130000.0,3435877.9220184535
DE246,4010000.0,2111716.46404286
DE247,19260000.0,2159268.264761774
DE248,1400000.0,2666718.8680541245
DE249,27500000.0,2225216.0175836254
DE24A,790000.0,1772606.1771641825
DE24B,9500000.0,1726789.8436247911
DE24C,3910000.0,1452238.935824347
DE24D,4070000.0,1685138.6313162534
DE251,2310000.0,715012.4779632301
DE252,290000.0,1453280.2161320604
DE253,0.0,1680626.4166494953
DE254,0.0,4686108.478146393
DE255,0.0,801785.8369393502
DE256,42860000.0,3017630.3317535543
DE257,3370000.0,3611854.2940220255
DE258,9010000.0,2360582.4575863727
DE259,0.0,3819069.075257
DE25A,20270000.0,1632033.3356228678
DE25B,6650000.0,2649017.102822996
DE25C,16060000.0,1843066.144652792
DE261,0.0,1044751.2420724864
DE262,430000.0,658436.2479107997
DE263,250000.0,1846189.9855759323
DE264,0.0,4475769.855988278
DE265,9250000.0,2300882.3866108023
DE266,14570000.0,1741020.674496875
DE267,9330000.0,1508815.1658767771
DE268,11900000.0,1920120.8874235868
DE269,340000.0,2654570.597797468
DE26A,28890000.0,3007217.52867642
DE26B,41750000.0,2348781.2807656205
DE26C,24430000.0,3294957.9870412345
DE271,990000.0,2531699.5214872817
DE272,0.0,593182.6819607574
DE273,210000.0,920838.885454587
DE274,3650000.0,762911.3721180484
DE275,43710000.0,2675396.2039517364
DE276,29590000.0,5231739.359388241
DE277,20580000.0,2262007.9217895004
DE278,17540000.0,3004093.6877532797
DE279,12760000.0,3706957.895459853
DE27A,1510000.0,1242247.4071021362
DE27B,32750000.0,2824646.3813906633
DE27C,51880000.0,2629579.870412345
DE27D,25700000.0,3339733.0402729125
DE27E,11010000.0,2363706.298509513
DE300,0.0,23615196.098633148
DE401,0.0,1421694.7134647525
DE402,4090000.0,1796208.5308056872
DE403,6880000.0,1034685.5324312567
DE404,600000.0,2217927.0554296314
DE405,29420000.0,4839523.776816173
DE406,32720000.0,5459432.6533415755
DE407,55430000.0,3755550.9764864803
DE408,38520000.0,4283132.999061291
DE409,135030000.0,5704133.525654235
DE40A,28220000.0,5547594.386061314
DE40B,12190000.0,3084966.4583190237
DE40C,90830000.0,4467092.520090666
DE40D,166550000.0,3139460.127756027
DE40E,46250000.0,6291068.525768711
DE40F,176810000.0,2364053.3919454175
DE40G,14340000.0,3500437.301096687
DE40H,120830000.0,4573997.298349245
DE40I,146460000.0,3470240.172172997
DE501,0.0,6006799.0017629415
DE502,0.0,1327632.3923346384
DE600,740000.0,16168306.431302516
DE711,0.0,1721583.442086224
DE712,0.0,5366411.612519175
DE713,0.0,974985.461455686
DE714,0.0,3171392.7238592394
DE715,10000.0,6023112.393250452
DE716,1100000.0,5408409.918263617
DE717,990000.0,4125899.6725965613
DE718,360000.0,3855860.979462875
DE719,4850000.0,8291715.090322138
DE71A,0.0,3980120.429516679
DE71B,350000.0,2048198.3652723401
DE71C,0.0,5005434.439178515
DE71D,770000.0,3844059.802642123
DE71E,7330000.0,7018923.460860407
DE721,7260000.0,5352180.781647091
DE722,0.0,6544446.733978982
DE723,7400000.0,3777417.8629484624
DE724,14580000.0,5503166.4262655405
DE725,13540000.0,2098526.91347849
DE731,0.0,2346698.7201501937
DE732,10800000.0,4657993.90983813
DE733,5720000.0,2868033.0608787234
DE734,31840000.0,5343156.352313574
DE735,29140000.0,3926320.946951485
DE736,34740000.0,3343898.161503766
DE737,2440000.0,2040215.2162465372
DE803,490000.0,2261660.828353596
DE804,530000.0,1583440.254596241
DE80J,311750000.0,5689555.601346246
DE80K,216910000.0,4378583.693935023
DE80L,200780000.0,4297363.829933374
DE80M,231280000.0,2908642.9928795476
DE80N,325420000.0,5073117.659179889
DE80O,240780000.0,5491712.342880692
DE911,630000.0,4003028.596286375
DE912,9280000.0,1904501.682807885
DE913,1300000.0,2404663.3239462418
DE914,84770000.0,3957906.4496187926
DE916,14990000.0,3100932.7563706296
DE917,57680000.0,1928104.0364493898
DE918,49760000.0,2754186.4139020536
DE91A,35880000.0,3289751.5855026674
DE91B,95420000.0,1832653.3415756577
DE91C,7200000.0,6504183.895414063
DE922,131760000.0,4815574.329738764
DE923,24540000.0,3127658.950935275
DE925,83500000.0,6055044.989353664
DE926,5860000.0,1488336.653158413
DE927,85440000.0,2757657.3482610984
DE928,13430000.0,4803773.152918012
DE929,40090000.0,18349441.582526274
DE931,30250000.0,4760733.566865856
DE932,244930000.0,5013070.494768414
DE933,23970000.0,6847112.21008769
DE934,7430000.0,1313401.5614625546
DE935,36750000.0,3828093.504590517
DE936,23520000.0,2882610.9851867114
DE937,163960000.0,4322354.557318497
DE938,43730000.0,3620184.536483733
DE939,100780000.0,4738172.493532065
DE93A,85670000.0,2148855.4616846396
DE93B,59600000.0,3243588.1585273715
DE941,50000.0,1259254.9854614558
DE942,20000.0,1074601.277560272
DE943,180000.0,2324831.833688211
DE944,0.0,2773276.5528768003
DE945,1850000.0,1224198.5484351031
DE946,51020000.0,3102668.2235501525
DE947,69890000.0,5278944.066671246
DE948,112850000.0,3881545.893719807
DE949,181220000.0,7585032.854820615
DE94A,47200000.0,2624026.3754378734
DE94B,108020000.0,2785424.823133457
DE94C,82190000.0,4853060.420816448
DE94D,61350000.0,3158897.360166678
DE94E,81300000.0,7920672.207340248
DE94F,63850000.0,2848595.828468072
DE94G,124680000.0,2419935.4351260387
DE94H,128970000.0,1075642.5578679855
DEA11,0.0,5146701.467591639
DEA12,0.0,5736760.308629256
DEA13,0.0,5641309.613755523
DEA14,0.0,3101974.036678343
DEA15,0.0,3992268.6997733363
DEA16,0.0,2137748.4717356963
DEA17,0.0,2338368.4776884858
DEA18,0.0,1683403.164136731
DEA19,0.0,2337327.1973807723
DEA1A,0.0,4153667.1474689194
DEA1B,13090000.0,5895034.915401699
DEA1C,10000.0,7593016.003846418
DEA1D,9220000.0,8598545.687661698
DEA1E,1590000.0,6046367.653456053
DEA1F,1240000.0,8212924.88037182
DEA22,0.0,3757980.6305378117
DEA23,0.0,9334383.771779198
DEA24,0.0,2379325.5031252145
DEA26,69730000.0,6287597.591409666
DEA27,37220000.0,8139688.165395975
DEA28,5470000.0,5116504.338667949
DEA29,17260000.0,7041484.534194198
DEA2A,0.0,7224055.681479955
DEA2B,0.0,6789494.6997275455
DEA2C,200000.0,13600162.099045264
DEA2D,250000.0,9185827.78121208
DEA31,0.0,1617108.3178789753
DEA32,0.0,2810762.6439544843
DEA33,730000.0,4032531.538338256
DEA34,8830000.0,6244558.00535751
DEA35,29100000.0,3467810.518121666
DEA36,0.0,10040718.913844815
DEA37,35040000.0,8436453.053094305
DEA38,37710000.0,4642374.705222428
DEA41,0.0,5516355.976829911
DEA42,20000.0,7090077.615220825
DEA43,0.0,7070293.2893742705
DEA44,23720000.0,3091561.233601209
